"Dato (Date)","Dokumenttitel (Title of the document)"
1996-09-24,"Bekendtgørelse om den grundlæggende pædagogiske uddannelse til pædagogmedhjælper, dagplejer, omsorgsmedhjælper mv. "
1996-10-11,"Bekendtgørelse om studentereksamen og højere forberedelseseksamen (studenter- og hf-eksamensbekendtgørelsen) (904)"
1996-10-17,"Bekendtgørelse om begyndelsestidspunkt for sommerferien i folkeskolen og fastlæggelse af prøveterminer/-datoer i skoleårene 1997/98, 1998/99 og 1999/2000 "
1996-10-18,"Vejledning om placering af ferie og fridage i skoleårene 1997/98, 1998/99 og 1999/2000"
1996-11-25,"Bekendtgørelse nr. 992 af 25. november 1996 om åben uddannelse"
1996-11-29,"Bekendtgørelse om videreuddannelsen af pædagoger"
1996-12-13,"Bekendtgørelse om gymnasiale suppleringskurser (GSK-bekendtgørelsen) (1153)"
1997-01-09,"Bekendtgørelse om optagelse i gymnasiet, på studenterkursus, på kursus til højere forberedelseseksamen og til studieforberedende enkeltfagsundervisning "
1997-01-23,"Bekendtgørelse af lov om friskoler og private grundskoler m.v. "
1997-01-23,"Bekendtgørelse af lov om gymnasiet m.v. (63)"
1997-01-23,"Bekendtgørelse om lov om kursus til højere forberedelseseksamen og studieforberedende enkeltfagsundervisning for voksne m.v.(64)"
1997-01-27,"Bekendtgørelse om ændring af bekendtgørelse om folkeskolens afsluttende prøver m.v. og om karaktergivning i folkeskolen(Opdeling af den skriftlige prøve i matematik ved folkeskolens afgangsprøve)"
1997-02-05,"Forslag til lov om ændring af lov om uddannelse af lærere til folkeskolen (162)"
1997-05-26,"Bekendtgørelse om ændring af bekendtgørelse om gymnasiet, studenterkursus og enkeltfagsstudentereksamen (matematik på matematisk linie) (354)"
1997-05-28,"Tillægsbetænkning over forslag til lov om ændring af lov om uddannelse af lærere til folkeskolen (162)"
1997-06-10,"Lov om centre for undervisningsmidler m.v. "
1997-06-10,"Lov om ændring af lov om folkeskolen (Styrelsesregler m.v.)"
1997-06-10,"Lov om ændring af lov om uddannelse af lærere til folkeskolen (473)"
1997-06-25,"Bekendtgørelse af lov om folkeskolen"
1997-07-10,"Bekendtgørelse af lov om uddannelse af lærere til folkeskolen (608)"
1997-07-10,"Bekendtgørelse om adgang, indskrivning og orlov m.v. ved videregående uddannelser "
1997-07-10,"Bekendtgørelse om den pædagogiske diplomuddannelse "
1997-10-10,"Bekendtgørelse om valg af forældrerepræsentanter til skolebestyrelser i folkeskolen "
1997-11-17,"Bekendtgørelse om begyndelsestidspunkt for sommerferien i folkeskolen og fastlæggelse af prøveterminer/-datoer i skoleårene 1998/99, 1999/2000 og 2000/01 "
1997-11-18,"Vejledning om placering af ferie og fridage i skoleårene 1998/99, 1999/2000 og 2000/01 "
1997-12-08,"Bekendtgørelse om uddannelse af pædagoger"
1997-12-17,"Bekendtgørelse om diplomuddannelsen i pædagogisk arbejde "
1998-01-06,"Bekendtgørelse om elever med særlige behov ved folkeskolens afsluttende prøver "
1998-01-28,"Bekendtgørelse om anvendelse af computer ved folkeskolens afsluttende skriftlige prøver "
1998-04-22,"Bekendtgørelse om den pædagogiske uddannelse til lærer i gymnasiet, på studenterkursus og på kursus til højere forberedelseseksamen "
1998-04-22,"Bekendtgørelse om undervisningskompetence i gymnasiet, på studenterkursus og ved kursus til højere forberedelseseksamen "
1998-06-02,"Bekendtgørelse om almen uddannelse i sløjd "
1998-06-03,"Lov om ændring af lov om folkeskolen (Uddannelseskrav ved forsøg med skolestart)"
1998-06-16,"Bekendtgørelse om ændring af bekendtgørelse om tilskud m.v. til private gymnasieskoler, studenterkurser og kurser til højere forberedelseseksamen m.v. "
1998-06-19,"Bekendtgørelse om uddannelse af lærere til folkeskolen (382)"
1998-06-22,"Bekendtgørelse om ændring af bekendtgørelse om gymnasiet, studenterkursus og enkeltfagsstudentereksamen (ugentligt lærerskematimetal m.v.) (389)"
1998-06-22,"Bekendtgørelse om ændring af bekendtgørelse om studentereksamen og om højere forberedelseseksamen (Matematik på matematisk linje) (388)"
1998-06-26,"Lov om ændring af lov om folkeskolen (Specialundervisning i dagbehandlingstilbud og anbringelsessteder)"
1998-07-01,"Lov om ændring af lov om folkeskolen (Betaling for lejrskoler og skolerejser m.v.)"
1998-07-01,"Lov om ændring af lov om folkeskolen (Forstærket integration af børn af flygtninge og indvandrere)"
1998-07-02,"Bekendtgørelse af lov om friskoler og private grundskoler m.v. "
1998-08-18,"Bekendtgørelse af lov om gymnasiet m.v. (613)"
1998-08-18,"Bekendtgørelse om lov om kursus til højere forberedelseseksamen og studieforberedende enkeltfagsundervisning for voksne m.v. (614)"
1998-08-31,"Vejledning om placering af ferie og fridage i folkeskolen i skoleårene fra 1998/99 til 2001/02"
1998-09-21,"Bekendtgørelse om ændring af bekendtgørelse om den pædagogiske uddannelse til lærer i gymnasiet, på studenterkursus og på kursus til højere forberedelseseksamen"
1998-10-06,"Bekendtgørelse af lov om folkeskolen"
1999-02-23,"Vejledning om ekskursioner, lejrskoler og skolerejser mv. i folkeskolen."
1999-03-09,"Vejledning om skolefritidsordninger"
1999-05-31,"Bekendtgørelse om gymnasiet, studenterkursus og enkeltfagsstudentereksamen (Gymnasiebekendtgørelsen) (411)"
1999-06-02,"Lov om ændring af lov om folkeskolen m.fl. love - 2. juni 1999"
1999-06-02,"Lov om ændring af lov om gymnasiet m.v., lov om de erhvervsgymnasiale uddannelser til højere handelseksamen og højere teknisk eksamen og lov om kursus til højere forberedelseseksamen og om studieforberedende enkeltfagsundervisning for voksne m.v.(Afsk"
1999-06-10,"Vejledning om folkeskolens indsats over for elever, hvis udvikling kræver en særlig hensyntagen eller støtte"
1999-06-30,"Bekendtgørelse om studentereksamen og om højere forberedelseseksamen (544)"
1999-07-26,"Bekendtgørelse om ændring af bekendtgørelse om kursus til højere forberedelseseksamen og om studieforberedende enkeltfagsundervisning  (hf-bekendtgørelsen) (620)"
1999-07-26,"Bekendtgørelse om ændring af bekendtgørelse om undervisningskompetence i gymnasiet, på studenterkursus og ved kursus til højere forberedelseseksamen"
1999-08-23,"Bekendtgørelse om ændring af bekendtgørelse om gymnasiet, studenterkursus og enkeltfagsstudentereksamen  (gymnasiebekendtgørelsen) (682)"
1999-08-26,"Vejledning om placering af ferier og fridage i folkeskolen i skoleårene fra 1999/2000 til 2002/03"
1999-09-06,"Bekendtgørelse af lov om folkeskolen - 6. september 1999"
1999-09-06,"Bekendtgørelse af lov om folkeskolen - 6. september 1999"
1999-09-13,"Bekendtgørelse om ændring af bekendtgørelse om undervisningskompetence i gymnasiet, på studenterkursus og ved kursus til højere forberedelseseksamen"
1999-11-04,"Bekendtgørelse af lov om gymnasiet m.v. (820)"
1999-11-04,"Bekendtgørelse om lov om kursus til højere forberedelseseksamen og studieforberedende enkeltfagsundervisning for voksne m.v. (821)"
1999-11-08,"Vejledning om udarbejdelse af vedtægt for styrelsen af kommunens skolevæsen"
1999-11-23,"Bekendtgørelse om ændring af bekendtgørelse om kursus til højere forberedelseseksamen og om studieforberedende enkeltfagsundervisning"
1999-11-24,"Bekendtgørelse om ændring af bekendtgørelse om studentereksamen og om højere forberedelseseksamen (studenter- og hf-bekendtgørelsen) (854)"
1999-12-17,"Bekendtgørelse om ændring af bekendtgørelse om gymnasiet, studenterkursus og enkeltfagsstudentereksamen (1196)"
2000-04-12,"Lov om ændring af lov om almen voksenuddannelse og lov om kursus til højere forberedelsesksamen og studieforberedende enkeltfagsundervisning for voksne m.v. (260)"
2000-04-12,"Lov om ændring af lov om ungdomsskoler"
2000-05-09,"Bekendtgørelse om tilskud m.v. til private gymnasieskoler, studenterkurser og kurser til højere forberedelseseksamen m.v. og refusion af tilskud for aktiverede deltagere"
2000-05-16,"Bekendtgørelse om vejledning og tilmelding til ungdomsuddannelserne for elever i folkeskolen mv."
2000-05-31,"Bekendtgørelse om den obligatoriske selvvalgte opgave i 10. klasse"
2000-05-31,"Bekendtgørelse om folkeskolens afsluttende prøver mv. og om karaktergivning i folkeskolen"
2000-05-31,"Bekendtgørelse om projektopgaven i 9. klasse"
2000-05-31,"Lov om mellemlange videregående uddannelser"
2000-05-31,"Lov om ændring af lov om folkeskolen - 31. maj 2000"
2000-06-06,"Bekendtgørelse om uddannelsesplaner i folkeskolen"
2000-07-03,"Bekendtgørelse af lov om friskoler og private grundskoler m.v."
2000-07-21,"Bekendtgørelse af lov om folkeskolen - 21. juli 2000"
2000-08-08,"Bekendtgørelse af lov om gymnasiet m.v. (754)"
2000-08-08,"Bekendtgørelse af lov om kursus til højere forberedelseseksamen og om studieforberedende enkeltfagsundervisning for voksne m.v. (755)"
2000-09-02,"Bekendtgørelse af lov om åben uddannelse (erhvervsrettet voksenuddannelse) m.v."
2000-09-13,"Bekendtgørelse af lov om ungdomsskoler"
2000-10-03,"Bekendtgørelse om ungdomsskolens virksomhed"
2000-11-01,"Bekendtgørelse af lov om uddannelse af lærere til folkeskolen (981)"
2000-11-01,"Bekendtgørelse nr. 980 af 1. november 2000 af lov om uddannelse af pædagoger"
2000-11-16,"Bekendtgørelse om fribefordring af skoleelever m.fl."
2001-01-15,"Bekendtgørelse om elevråd i folkeskolen og i ungdomsskolen"
2001-01-15,"Bekendtgørelse om elevråd i gymnasiet og kursistråd på kursus til højere forberedelseseksamen og studieforberedende enkeltfagsundervisning"
2001-03-01,"Vejledning om tilskud m.v. til specialundervisning, tosprogede elever og svært handicappede på frie grundskoler "
2001-03-07,"Bekendtgørelse om ændring af bekendtgørelse om formålet med undervisningen i folkeskolens fag og obligatoriske emner med angivelse af centrale kundskabs- og færdighedsområder"
2001-03-14,"Lov om elevers og studerendes undervisningsmiljø"
2001-03-26,"Bekendtgørelse om begyndelsestidspunkt for sommerferien i folkeskolen og fastlæggelse af prøveterminer/-datoer i skoleårene fra 2000/01 til 2003/04"
2001-04-06,"Lov om afholdelse af danske prøver og eksaminer i udlandet"
2001-06-06,"Bekendtgørelse af lov om friskoler og private grundskoler m.v."
2001-06-08,"Bekendtgørelse om ændring af bekendtgørelse om gymnasiet, studentereksamen og enkeltfagsstudentereksamen (gymnasiebekendtgørelsen) (530)"
2001-06-08,"Bekendtgørelse om ændring af bekendtgørelse om gymnasiet, studenterkursus og enkeltfagsstudentereksamen"
2001-06-08,"Bekendtgørelse om ændring af bekendtgørelse om kursus til højere forberedelseseksamen og om studieforberedende enkeltfagsundervisning"
2001-06-08,"Bekendtgørelse om ændring af bekendtgørelse om kursus til højere forberedelseseksamen og om studieforberedende enkeltfagsundervisning (hf-bekendtgørelsen) (531)"
2001-06-25,"Skrivelse om kommuner og amtskommuners indsats som følge af lov om elevers og studerendes undervisningsmiljø."
2001-07-10,"Bekendtgørelse om uddannelse af praktiklærere til læreruddannelsen"
2001-07-12,"Bekendtgørelse om uddannelsen til speciallærer"
2001-07-13,"Bekendtgørelse om ændring af bekendtgørelse om uddannelse af lærere til folkeskolen"
2001-07-13,"Bekendtgørelse om ændring af bekendtgørelse om uddannelse af lærere til folkeskolen (695)"
2001-07-23,"Bekendtgørelse om ændring af bekendtgørelse om uddannelse af pædagoger"
2001-07-23,"Bekendtgørelse om ændring af bekendtgørelse om uddannelse af pædagoger"
2001-07-23,"Vejledning om undervisningspligtens opfyldelse i friskoler og private grundskoler og tilsynet hermed "
2001-10-12,"Bekendtgørelse om ændring af bekendtgørelse om den grundlæggende pædagogiske uddannelse til pædagogmedhjælper, dagplejer, omsorgsmedhjælper mv."
2001-10-25,"Bekendtgørelse om ændring af bekendtgørelse om gymnasiet, studenterkursus og enkeltfagsstudentereksamen"
2001-10-25,"Bekendtgørelse om ændring af bekendtgørelse om gymnasiet, studenterkursus og enkeltfagsstudentereksamen (Gymnasie- bekendtgørelsen) (Ændringer i fagbilagene for fysik og kemi) (934)"
2002-01-01,"Klare Mål - 00 - personlige udvikling"
2002-01-01,"Klare Mål - 01 - dansk"
2002-01-01,"Klare Mål - 02 - engelsk"
2002-01-01,"Klare Mål - 03 - kristendomskundskab"
2002-01-01,"Klare Mål - 04 - historie"
2002-01-01,"Klare Mål - 05 - samfundsfag"
2002-01-01,"Klare Mål - 06 - idræt"
2002-01-01,"Klare Mål - 07 - musik"
2002-01-01,"Klare Mål - 08 - billedkunst"
2002-01-01,"Klare Mål - 09 - håndarbejde"
2002-01-01,"Klare Mål - 10 - sløjd"
2002-01-01,"Klare Mål - 11 - hjemkundskab"
2002-01-01,"Klare Mål - 12 - matematik"
2002-01-01,"Klare Mål - 13 - natur-teknik"
2002-01-01,"Klare Mål - 14 - geografi"
2002-01-01,"Klare Mål - 15 - biologi"
2002-01-01,"Klare Mål - 16 - fysik-kemi"
2002-01-01,"Klare Mål - 17 - tysk"
2002-01-01,"Klare Mål - 18 - fransk"
2002-01-01,"Klare Mål - 19 - dansk som andetsprog"
2002-02-20,"Vejledning om placering af ferier og fridage i folkeskolen i skoleårene fra 2001/02 til 2004/05"
2002-03-15,"Bekendtgørelse af lov om gymnasiet m.v. (178)"
2002-03-15,"Bekendtgørelse af lov om kursus til højere forberedelseseksamen og om studieforberedende enkeltfagsundervisning for voksne m.v. (179)"
2002-04-16,"Bekendtgørelse om ændring af bekendtgørelse om formålet med undervisningen i folkeskolens fag og obligatoriske emner med angivelse af centrale kundskabs- og færdighedsområder"
2002-04-16,"Bekendtgørelse om ændring af bekendtgørelse om formålet med undervisningen i folkeskolens fag og obligatoriske emner med angivelse af centrale kundskabs- og færdighedsområder"
2002-04-23,"Bekendtgørelse om ændring af bekendtgørelse om studentereksamen og om højere forberedelseseksamen"
2002-05-15,"Bekendtgørelse om uddannelse af praktiklærere til læreruddannelsen"
2002-05-22,"Bekendtgørelse om uddannelsen til meritlærer"
2002-06-06,"Lov om ændring af lov om folkeskolen og lov om friskoler og private grundskoler m.v."
2002-06-06,"Lov om ændring af lov om friskoler og private grundskoler m.v."
2002-06-19,"Bekendtgørelse om undervisningskompetence i de almene gymnasiale uddannelser"
2002-06-19,"Bekendtgørelse om ændring af bekendtgørelse om gymnasiet, studenterkursus og enkeltfagsstudentereksamen"
2002-07-09,"Bekendtgørelse af lov om friskoler og private grundskoler m.v. "
2002-12-11,"Bekendtgørelse om ændring af bekendtgørelse om folkeskolens afsluttende prøver mv. og om karaktergivning i folkeskolen"
2003-01-07,"Bekendtgørelse om tilskud m.v. til friskoler og private grundskoler m.v."
2003-01-07,"Bekendtgørelse om tilskud m.v. til private gymnasieskoler, studenterkurser og kurser til højere forberedelseseksamen m.v. "
2003-01-22,"Bekendtgørelse om akademiuddannelsen i ungdomspædagogik "
2003-04-30,"Lov om ændring af lov om folkeskolen - 30. april 2003"
2003-06-13,"Bekendtgørelse om fælles ledelse for flere folkeskoler "
2003-06-13,"Bekendtgørelse om indholdet i børnehaveklassen "
2003-06-13,"Bekendtgørelse om overgangsregler i forbindelse med kommunernes forpligtelse til at fastsætte beskrivelser af udviklingen i undervisningen frem mod trin- og slutmål for skoleårene 2003/04, 2004/05 og 2005/06 "
2003-06-18,"Bekendtgørelse om undervisningstimetal i folkeskolen"
2003-06-20,"Vejledning om OK 2002 – frie grundskoler "
2003-06-23,"Bekendtgørelse om formålet med undervisningen i folkeskolens fag og obligatoriske emner med angivelse af centrale kundskabs- og færdighedsområder (slutmål) og trinmål. (Fælles mål)"
2003-08-04,"Bekendtgørelse af lov om friskoler og private grundskoler m.v."
2003-10-08,"Bekendtgørelse af lov om gymnasiet m.v. (833)"
2003-10-20,"Bekendtgørelse om studentereksamen og om højere forberedelseseksamen - 20. oktober 2003"
2003-10-21,"Bekendtgørelse af lov om folkeskolen"
2004-01-16,"Bekendtgørelse om gymnasiet, studenterkursus og enkeltfagsstudentereksamen (gymnasiebekendtgørelsen)"
2004-02-12,"Bekendtgørelse om kursus til højere forberedelseseksamen og om studieforberedende enkeltfagsundervisning for voksne mv."
2004-02-13,"Bekendtgørelse om begyndelsestidspunkt for sommerferien i folkeskolen og fastlæggelse af prøveterminer/-datoer i skoleårene fra 2003/04 til 2005/06 "
2004-02-18,"Lov om uddannelsen til højere forberedelseseksamen"
2004-02-18,"Lov om uddannelsen til studentereksamen"
2004-03-22,"Bekendtgørelse om vedtægter for friskoler og private grundskoler m.v. "
2004-03-25,"Bekendtgørelse om tilskud til indkøb af computerudstyr til elever på 3. klassetrin i frie grundskoler "
2004-03-31,"Bekendtgørelse om undervisningskompetence i de almene gymnasiale uddannelser "
2004-04-29,"Bekendtgørelse om ændring af bekendtgørelse om uddannelse af lærere til folkeskolen"
2004-04-29,"Lov om ændring af lov om friskoler og private grundskoler m.v. - 29. april 2004 "
2004-05-19,"Lov om ændring af lov om folkeskolen - 19. maj 2004"
2004-06-09,"Lov om ændring af lov om folkeskolen - 9. juni 2004"
2004-06-09,"Lov om ændring af lov om friskoler og private grundskoler m.v. - 9.juni 2004 "
2004-07-05,"Bekendtgørelse af lov om friskoler og private grundskoler m.v. - 5.juli 2004"
2004-07-13,"Bekendtgørelse om fælles ledelse for folkeskoler og kommunale dagtilbud i landdistrikter m.v. "
